# flair_url_clusters.tsv - one row per keyword in a 200 cluster
cluster_url	winner_id	keyword	redundant_tail
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_running.jpg	running	running	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_skiing.jpg	skiing	skiing	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_sleep.jpg	sleep	sleep	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_soccer.jpg	soccer	soccer	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_swimming.jpg	swimming	swimming	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_swimming.jpg	swimming	synchronized swimming	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_tennis.jpg	tennis	table tennis	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_tennis.jpg	tennis	tennis	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_thanksgiving.jpg	thanksgiving	thanksgiving	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_triathlon.jpg	triathlon	triathlon	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_valentinesday.jpg	valentinesday	valentines day	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_videogaming.jpg	videogaming	video gaming	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_videogaming.jpg	videogaming	videogaming	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_volleyball.jpg	volleyball	volleyball	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_walk.jpg	walk	going for a walk	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_walk.jpg	walk	walk dog	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_walk.jpg	walk	walk the dog	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_wedding.jpg	wedding	wedding	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_wedding.jpg	wedding	wedding eve	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	x-mas	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	x-mas brunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	x-mas dinner	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	x-mas eve brunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	x-mas eve dinner	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	x-mas eve lunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	x-mas eve luncheon	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	x-mas lunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	x-mas luncheon	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	xmas	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	xmas brunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	xmas dinner	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	xmas eve brunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	xmas eve dinner	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	xmas eve lunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	xmas eve luncheon	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	xmas lunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmas.jpg	xmas	xmas luncheon	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmasparty.jpg	xmasparty	x-mas eve party	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmasparty.jpg	xmasparty	x-mas party	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_xmasparty.jpg	xmasparty	xmas eve party	yes
